,attributes,price,status,adress,lat,lon
52, 140 m² construidos | 3 recs. ,"6,188,463",Casa en venta , Norte 86 A4730 - Nueva Tenochtitlan - Gustavo A. Madero - Distrito Federal ,19.4579002,-99.1023607
53, 250 m² construidos | 3 recs. ,"596,000",Casa en venta , CALLE 313 - El Coyol - Gustavo A. Madero - Distrito Federal ,19.4881312,-99.0900856
54, 150 m² construidos | 3 recs. ,"2,688,334",Casa en venta , Norte 19 A5327 - Nueva Vallejo - Gustavo A. Madero - Distrito Federal ,19.4841219,-99.1479993
55, 145 m² construidos | 4 recs. ,"1,775,395",Casa en venta , 2 DA CERRADA697 - San Juan De Aragón - Gustavo A. Madero - Distrito Federal ,19.4549778,-99.0543234
56, 216 m² construidos | 6 recs. ,"2,660,000",Casa en venta , Calle 63131 - San Juan De Aragón - Gustavo A. Madero - Distrito Federal ,19.4686137,-99.0907521
57, 200 m² construidos | 3 recs. ,"1,350,000",Casa en venta , BONAO 0 - Lindavista - Gustavo A. Madero - Distrito Federal ,19.5011203,-99.1298228
58, 220 m² construidos | 4 recs. ,"2,830,000",Casa en venta , Gustavo A. Madero - Distrito Federal ,19.4873329,-99.1236134
59, 110 m² construidos | 2 recs. ,"849,400",Casa en venta , Andador 68967 - C.T.M. Aragón - Gustavo A. Madero - Distrito Federal ,19.4912946,-99.0522209
60, 90 m² construidos | 3 recs. ,"866,067",Casa en venta , SALAMINA 0 - Lindavista - Gustavo A. Madero - Distrito Federal ,19.4994383,-99.1270283
61, 150 m² construidos | 3 recs. ,"1,338,846",Casa en venta , Av. Fernando Amilpa105 - C.T.M. Atzacoalco - Gustavo A. Madero - Distrito Federal ,19.5085203,-99.0992958
62, 240 m² construidos | 4 recs. ,"1,437,956",Casa en venta , Acueducto de guadalupe49 - Santa Isabel Tola - Gustavo A. Madero - Distrito Federal ,19.4959244,-99.1131703
63, 360 m² construidos | 4 recs. ,"2,590,000",Casa en venta , Av. 50820 - San Juan De Aragón - Gustavo A. Madero - Distrito Federal ,19.4686303,-99.0923614
64, 250 m² construidos | 4 recs. ,"998,748",Casa en venta , AtlacomulcoMz 20 Lt 34 - San Felipe De Jesús - Gustavo A. Madero - Distrito Federal ,19.4996572,-99.0788113
65, 130 m² construidos | 3 recs. ,"1,072,000",Casa en venta , Calle 31329 - El Coyol - Gustavo A. Madero - Distrito Federal ,19.4959946,-99.087209
66, 120 m² construidos | 3 recs. ,"595,000",Casa en venta , NORTE 3 A 0 - Defensores De La República - Gustavo A. Madero - Distrito Federal ,19.4794298,-99.1420087
67, 210 m² construidos | 3 recs. ,"685,000",Casa en venta , Cairo 303 - Fernando Casas Alemán - Gustavo A. Madero - Distrito Federal ,19.4520358,-99.0969096
68, 120 m² construidos | 3 recs. ,"1,453,026",Casa en venta , Norte 763427 - El Coyol - Gustavo A. Madero - Distrito Federal ,19.487856,-99.0909786
69, 104 m² construidos | 3 recs. ,"1,630,000",Casa en venta , Andador 66563 - Ampliación San Juan de Aragón - Gustavo A. Madero - Distrito Federal ,19.4912946,-99.0522209
70, 250 m² construidos | 3 recs. ,"685,000",Casa en venta , CAIRO 0 - Fernando Casas Alemán - Gustavo A. Madero - Distrito Federal ,19.4525696,-99.0969458
71, 252 m² construidos | 4 recs. ,"1,058,000",Casa en venta , BONAO 0 - Lindavista Norte - Gustavo A. Madero - Distrito Federal ,19.4908853,-99.1331631
72, 180 m² construidos | 4 recs. ,"1,055,603",Casa en venta , VOLCAN JORULLO 0 - La Pradera - Gustavo A. Madero - Distrito Federal ,19.476546,-99.0667845
73, 100 m² construidos | 2 recs. ,"1,299,897",Casa en venta , Gustavo A. Madero - Distrito Federal ,19.4873329,-99.1236134
74, 85 m² construidos | 2 recs. ,"310,775",Casa en venta , Gaviotas 21 - Granjas Modernas - Gustavo A. Madero - Distrito Federal ,19.4788821,-99.1059233
75, 220 m² construidos | 4 recs. ,"1,370,020",Casa en venta , CHICLAYO 0 - Lindavista - Gustavo A. Madero - Distrito Federal ,19.4896721,-99.1310756
76, 200 m² construidos | 2 recs. ,"2,150,000",Casa en venta , AVENIDA 603 00 - San Juan de Aragón III Sección - Gustavo A. Madero - Distrito Federal ,19.4520587,-99.0702693
77, 75 m² construidos | 3 recs. ,"554,000",Casa en venta , ANDADOR 689 00 - C.T.M. Aragón - Gustavo A. Madero - Distrito Federal ,19.4533047,-99.0547616
78, 120 m² construidos | 3 recs. ,"1,750,000",Casa en venta , JUAN BOSCO 00 - Vasco De Quiroga - Gustavo A. Madero - Distrito Federal ,19.4949378,-99.097049
79, 200 m² construidos | 3 recs. ,"2,500,000",Casa en venta , PONIENTE 108 00 - Defensores De La República - Gustavo A. Madero - Distrito Federal ,19.4748978,-99.1413689
80, 537 m² construidos | 5 recs. ,"11,940,000",Casa en venta , MANIZALES - Lindavista - Gustavo A. Madero - Distrito Federal ,19.4994383,-99.1270283
81, 205 m² construidos | 4 recs. ,"4,300,000",Casa en venta , Avenida 506 10 - San Juan De Aragón - Gustavo A. Madero - Distrito Federal ,19.4581179,-99.095664
82, 250 m² construidos | 4 recs. ,"5,950,000",Casa en venta , Trujillo 641 - Lindavista - Gustavo A. Madero - Distrito Federal ,19.4898017,-99.1347867
83, 447 m² construidos | 4 recs. ,"3,000,000",Casa en venta , Managua 750 - Lindavista Sur - Gustavo A. Madero - Distrito Federal ,19.4929873,-99.1316322
84, 310 m² construidos | 3 recs. ,"1,510,000",Casa en venta , 653 0 - San Juan de Aragón V Sección - Gustavo A. Madero - Distrito Federal ,19.4549729,-99.0622658
85, 160 m² construidos | 3 recs. ,"8,750,000",Casa en venta , Avenida 531 0 - San Juan De Aragón - Gustavo A. Madero - Distrito Federal ,19.4635643,-99.0873252
86, 360 m² construidos | 4 recs. ,"3,000,000",Casa en venta , AVENIDA 508 20 - San Juan de Aragón I Sección - Gustavo A. Madero - Distrito Federal ,19.462765,-99.0929339
87, 171 m² construidos | 3 recs. ,"1,850,000",Casa en venta , Calle 637 - San Juan De Aragón - Gustavo A. Madero - Distrito Federal ,19.4539424,-99.0643202
88, 718 m² construidos | 3 recs. ,"8,750,000",Casa en venta , Wilfrido Massieu 418 - Lindavista - Gustavo A. Madero - Distrito Federal ,19.49906,-99.14807
89, 80 m² construidos | 3 recs. ,"2,750,000",Casa en venta , Valparaíso 153 - Tepeyac Insurgentes - Gustavo A. Madero - Distrito Federal ,19.4895388,-99.1200663
90, 250 m² construidos | 3 recs. ,"1,250,000",Casa en venta , 615 117 - San Juan De Aragón - Gustavo A. Madero - Distrito Federal ,19.4533039,-99.0671095
91, 475 m² construidos | 4 recs. ,"9,000,000",Casa en venta , Managua - Lindavista - Gustavo A. Madero - Distrito Federal ,19.4957771,-99.1291495
92, 428 m² construidos | 4 recs. ,"9,800,000",Casa en venta , Lindavista Norte - Gustavo A. Madero - Distrito Federal ,19.494112,-99.1276295
93, 368 m² construidos | 5 recs. ,"10,950,000",Casa en venta , Caracas 84 - Torres Lindavista - Gustavo A. Madero - Distrito Federal ,19.509636,-99.1417862
94, 430 m² construidos | 4 recs. ,"12,000,000",Casa en venta ," Managua, Lindavista, Gustavo A Madero 851 - Lindavista - Gustavo A. Madero - Distrito Federal ",19.4956008,-99.1291152
95, 165 m² construidos | 3 recs. ,"2,600,000",Casa en venta , Calle 1505 - San Juan De Aragón - Gustavo A. Madero - Distrito Federal ,19.4703174,-99.0697366
