id,Price_m2,tiempo,pobtot,p_0a2,p_60ymas,prom_hnv,graproes,graproes_f,pocupada,pocupada_f,pder_ss,vivtot,tvivhab,tvivpar,vivpar_hab,vivpar_ut,prom_ocup,vph_2ymasd,vph_autom,vph_pc,vph_inter,pct_0a2,pct_60,pct_wf,pct_t_inhab_hh,pct_privhh,pct_privhh_inhab,pct_hhtemp,pct_hh_car,pct_hh_pc,pct_hh_int
00500010633006,32083.333333333332,2020.0,87.0,0.0,32.0,1.5,13.46,12.73,40.0,20.0,74.0,25.0,22.0,25.0,22.0,3.0,3.95,19.0,18.0,17.0,21.0,0.0,36.7816091954023,50.0,88.0,100.0,88.0,12.0,72.0,68.0,84.0
00500010722007,4708.730158730159,2010.0,63.0,,14.0,1.41,13.42,12.84,31.0,17.0,53.0,19.0,,,,,3.5,17.0,16.0,16.0,14.0,,22.222222222222218,54.838709677419345,,,,,84.21052631578947,84.21052631578947,73.68421052631578
00500010722007,4708.730158730159,2020.0,44.0,0.0,18.0,1.65,15.06,14.76,23.0,9.0,39.0,19.0,17.0,18.0,16.0,,2.59,14.0,15.0,16.0,16.0,0.0,40.90909090909091,39.130434782608695,89.47368421052632,94.73684210526315,84.21052631578947,,78.94736842105263,84.21052631578947,84.21052631578947
00500010722008,27347.560975609755,2010.0,223.0,5.0,60.0,1.69,13.41,12.53,114.0,50.0,148.0,76.0,,,,,3.23,59.0,58.0,56.0,46.0,2.242152466367713,26.90582959641256,43.85964912280701,,,,,76.31578947368422,73.68421052631578,60.526315789473685
00500010722008,27347.560975609755,2020.0,185.0,4.0,50.0,1.37,13.12,12.6,120.0,57.0,114.0,73.0,61.0,72.0,60.0,0.0,3.03,55.0,46.0,52.0,56.0,2.1621621621621623,27.02702702702703,47.5,83.56164383561644,98.63013698630137,82.1917808219178,0.0,63.01369863013698,71.23287671232877,76.71232876712328
00500010737003,31575.0,2010.0,125.0,3.0,21.0,1.25,14.74,14.4,58.0,24.0,88.0,37.0,,,,,3.57,29.0,34.0,29.0,28.0,2.4,16.8,41.379310344827594,,,,,91.8918918918919,78.37837837837837,75.67567567567569
00500010737003,31575.0,2020.0,124.0,6.0,26.0,1.41,13.88,13.47,63.0,32.0,83.0,35.0,32.0,35.0,32.0,3.0,3.88,31.0,30.0,30.0,31.0,4.838709677419356,20.967741935483872,50.79365079365079,91.42857142857143,100.0,91.42857142857143,8.571428571428571,85.71428571428571,85.71428571428571,88.57142857142857
00500010737005,27907.627329344414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00500010737006,27906.976744186046,2010.0,224.0,,38.0,1.66,14.02,13.6,89.0,36.0,131.0,73.0,,,,,3.46,58.0,58.0,52.0,46.0,,16.964285714285715,40.44943820224719,,,,,79.45205479452055,71.23287671232877,63.01369863013698
00500010737006,27906.976744186046,2020.0,211.0,,60.0,1.53,14.62,14.12,96.0,39.0,122.0,77.0,68.0,77.0,68.0,4.0,3.1,60.0,63.0,63.0,64.0,,28.43601895734597,40.625,88.31168831168831,100.0,88.31168831168831,5.194805194805196,81.81818181818183,81.81818181818183,83.11688311688313
