,Unnamed: 0,m2,state,rooms,price,status,adress,long,lat
73,73,164,construidos , 3 recs. ,"1,220,000",Casa en venta ," Tiburcio Sanchez de la Barquera 10 , Merced Gómez , Benito Juárez , Distrito Federal ",-99.189619,19.3674673
74,74,270,construidos , 4 recs. ,"1,320,000",Casa en venta ," OHIO 15 , Nápoles , Benito Juárez , Distrito Federal ",-99.1716283,19.3987717
75,75,200,construidos , 3 recs. ,"4,536,000",Casa en venta ," AVENIDA JUAREZ 141 , Santa Cruz Atoyac , Benito Juárez , Distrito Federal ",-99.162774,19.3664795
76,76,270,construidos , 4 recs. ,"1,320,000",Casa en venta ," OHIO 13 , Nápoles , Benito Juárez , Distrito Federal ",-99.17155260000001,19.3987179
77,77,120,construidos , 3 recs. ,"12,041,246",Casa en venta ," Miami 00 , Nápoles , Benito Juárez , Distrito Federal ",-99.17661179999999,19.3959547
78,78,300,construidos , 4 recs. ,"6,107,032",Casa en venta ," Martín Mendalde 00 , Del Valle Sur , Benito Juárez , Distrito Federal ",-99.1685294,19.3784322
79,79,220,construidos , 3 recs. ,"1,837,086",Casa en venta ," nicolas san juan 00 , Del Valle Sur , Benito Juárez , Distrito Federal ",-99.166486,19.3709403
80,80,232,construidos , 3 recs. ,"14,300,382",Casa en venta ," ANDRES DE LA CONCHA , San José Insurgentes , Benito Juárez , Distrito Federal ",-99.18736349999999,19.3686597
81,81,200,construidos , 3 recs. ,"2,370,000",Casa en venta ," Emperadores 78 , Portales , Benito Juárez , Distrito Federal ",-99.1447288,19.3657887
82,82,233,construidos , 3 recs. ,"13,973,151",Casa en venta ," San José Insurgentes , Benito Juárez , Distrito Federal ",-99.185752,19.3674235
83,83,515,construidos , 6 recs. ,"18,000,000",Casa en venta ," Poussin , San Juan , Benito Juárez , Distrito Federal ",-99.1852103,19.3767806
84,84,393,construidos , 3 recs. ,"14,900,000",Casa en venta ," Adolfo Prieto , Benito Juárez , Distrito Federal ",-99.1700168,19.3824557
85,85,600,construidos , 5 recs. ,"7,900,000",Casa en venta ," Benito Juárez , Distrito Federal ",-99.15914459999999,19.3794059
86,86,430,construidos , 5 recs. ,"1,535,000",Casa en venta ," Benito Juárez , Distrito Federal ",-99.15914459999999,19.3794059
