id,price_m2,tiempo,pobtot,p_0a2,p_60ymas,prom_hnv,graproes,graproes_f,pocupada,pocupada_f,pder_ss,vivtot,tvivhab,tvivpar,vivpar_hab,vivpar_ut,prom_ocup,vph_2ymasd,vph_autom,vph_pc,vph_inter,pct_0a2,pct_60,pct_wf,pct_t_inhab_hh,pct_privhh,pct_privhh_inhab,pct_hhtemp,pct_hh_car,pct_hh_pc,pct_hh_int
0140001012A012,21774.1935483871,2020.0,321.0,8.0,55.0,1.05,14.73,14.32,209.0,107.0,249.0,141.0,133.0,136.0,128.0,,2.41,90.0,83.0,117.0,129.0,2.4922118380062304,17.133956386292837,51.196172248803826,94.32624113475178,96.45390070921984,90.78014184397163,,58.86524822695035,82.97872340425532,91.48936170212765
01400010153006,18076.593885417416,2010.0,136.0,,19.0,1.5,11.93,11.5,69.0,32.0,91.0,56.0,,,,,2.95,24.0,20.0,24.0,19.0,,13.970588235294118,46.3768115942029,,,,,35.714285714285715,42.857142857142854,33.92857142857143
01400010153006,18076.593885417416,2020.0,142.0,6.0,31.0,1.38,12.82,12.36,81.0,38.0,111.0,60.0,56.0,60.0,56.0,3.0,2.54,35.0,28.0,32.0,44.0,4.225352112676056,21.83098591549296,46.913580246913575,93.33333333333331,100.0,93.33333333333331,5.0,46.66666666666666,53.33333333333334,73.33333333333333
01400010153009,15109.89010989011,2010.0,128.0,3.0,23.0,2.0,10.85,10.8,55.0,23.0,79.0,40.0,,,,,3.61,19.0,17.0,15.0,13.0,2.34375,17.96875,41.81818181818181,,,,,42.5,37.5,32.5
01400010153009,15109.89010989011,2020.0,126.0,3.0,28.0,1.75,12.87,12.55,66.0,31.0,93.0,39.0,36.0,39.0,36.0,0.0,3.5,25.0,18.0,31.0,29.0,2.380952380952381,22.222222222222218,46.96969696969697,92.30769230769229,100.0,92.30769230769229,0.0,46.153846153846146,79.48717948717949,74.35897435897436
01400010172009,25161.290322580644,2010.0,160.0,7.0,18.0,1.15,14.12,13.87,84.0,42.0,111.0,65.0,,,,,2.54,33.0,48.0,46.0,39.0,4.375,11.25,50.0,,,,,73.84615384615384,70.76923076923076,60.0
01400010172009,25161.290322580644,2020.0,123.0,,33.0,1.4,14.29,13.82,71.0,36.0,89.0,61.0,57.0,61.0,57.0,0.0,2.16,27.0,47.0,53.0,54.0,,26.82926829268293,50.70422535211267,93.44262295081968,100.0,93.44262295081968,0.0,77.04918032786884,86.88524590163935,88.52459016393442
01400010187003,37837.83783783784,2010.0,198.0,,44.0,1.2,13.4,13.03,95.0,51.0,120.0,60.0,,,,,3.25,40.0,41.0,40.0,36.0,,22.222222222222218,53.68421052631579,,,,,68.33333333333333,66.66666666666666,60.0
01400010187003,37837.83783783784,2020.0,191.0,4.0,45.0,1.04,14.19,13.68,111.0,58.0,136.0,78.0,69.0,76.0,67.0,0.0,2.63,62.0,42.0,50.0,61.0,2.094240837696335,23.560209424083773,52.252252252252255,88.46153846153845,97.43589743589745,85.8974358974359,0.0,53.846153846153854,64.1025641025641,78.2051282051282
01400010191005,38787.878787878784,2010.0,389.0,11.0,70.0,1.03,14.29,13.89,229.0,110.0,306.0,205.0,,,,,2.25,101.0,146.0,138.0,133.0,2.8277634961439593,17.994858611825194,48.03493449781659,,,,,71.21951219512195,67.31707317073172,64.87804878048779
