,tiempo,nom_ent,mun,loc,ageb,mza,pobtot,p_0a2,p_60ymas,prom_hnv,graproes,graproes_f,pocupada,pocupada_f,pder_ss,vivtot,tvivhab,tvivpar,vivpar_hab,vivpar_ut,prom_ocup,vph_2ymasd,vph_autom,vph_pc,vph_inter,pct_0a2,pct_60,pct_wf,pct_t_inhab_hh,pct_privhh,pct_privhh_inhab,pct_hhtemp,pct_hh_car,pct_hh_pc,pct_hh_int
252,2010,Distrito Federal,5,1,014A,9,203,11.0,19.0,2.03,9.84,9.68,92.0,39.0,161.0,55,,,,,3.76,32.0,20.0,18.0,11.0,5.41871921182266,9.35960591133005,42.391304347826086,,,,,,,
253,2010,Distrito Federal,5,1,014A,10,134,4.0,10.0,2.21,10.07,10.07,60.0,21.0,86.0,38,,,,,3.72,24.0,16.0,14.0,6.0,2.9850746268656714,7.462686567164178,35.0,,,,,,,
254,2010,Distrito Federal,5,1,014A,11,187,7.0,18.0,2.31,9.17,9.3,75.0,25.0,125.0,55,,,,,3.53,21.0,12.0,13.0,8.0,3.7433155080213902,9.62566844919786,33.33333333333333,,,,,,,
255,2010,Distrito Federal,5,1,014A,12,99,4.0,8.0,2.64,8.15,8.18,35.0,9.0,64.0,25,,,,,3.96,11.0,10.0,4.0,,4.040404040404041,8.080808080808081,25.71428571428571,,,,,,,
256,2010,Distrito Federal,5,1,014A,13,182,4.0,14.0,2.25,8.17,7.92,68.0,22.0,107.0,47,,,,,3.96,22.0,11.0,8.0,7.0,2.197802197802198,7.6923076923076925,32.35294117647059,,,,,,,
257,2010,Distrito Federal,5,1,014A,14,174,8.0,10.0,2.06,8.87,9.08,63.0,22.0,125.0,46,,,,,3.87,23.0,17.0,14.0,6.0,4.597701149425287,5.747126436781609,34.92063492063492,,,,,,,
258,2010,Distrito Federal,5,1,014A,15,59,3.0,7.0,3.43,8.64,7.48,21.0,7.0,40.0,14,,,,,4.21,10.0,6.0,5.0,3.0,5.084745762711865,11.864406779661017,33.33333333333333,,,,,,,
259,2010,Distrito Federal,5,1,014A,17,135,9.0,11.0,2.41,8.4,8.14,53.0,12.0,88.0,36,,,,,3.88,18.0,12.0,5.0,3.0,6.666666666666667,8.148148148148149,22.641509433962266,,,,,,,
260,2010,Distrito Federal,5,1,014A,18,219,15.0,19.0,2.54,8.6,8.45,76.0,14.0,146.0,49,,,,,4.47,32.0,29.0,14.0,7.0,6.8493150684931505,8.67579908675799,18.421052631578945,,,,,,,
261,2010,Distrito Federal,5,1,014A,19,233,13.0,15.0,2.6,8.05,7.83,89.0,24.0,151.0,57,,,,,4.09,24.0,13.0,11.0,9.0,5.579399141630901,6.437768240343347,26.96629213483146,,,,,,,
262,2010,Distrito Federal,5,1,014A,20,175,13.0,14.0,2.56,8.71,8.34,63.0,21.0,117.0,44,,,,,4.17,21.0,11.0,10.0,3.0,7.428571428571429,8.0,33.33333333333333,,,,,,,
263,2010,Distrito Federal,5,1,014A,21,193,6.0,25.0,2.27,7.73,8.04,84.0,31.0,124.0,56,,,,,3.52,22.0,16.0,8.0,5.0,3.1088082901554404,12.953367875647666,36.904761904761905,,,,,,,
