,m2,state,rooms,price,status,adress
76,270,construidos , 4 recs. ,"1,320,000",Casa en venta ," OHIO 13 , Nápoles , Benito Juárez , Distrito Federal "
77,120,construidos , 3 recs. ,"12,041,246",Casa en venta ," Miami 00 , Nápoles , Benito Juárez , Distrito Federal "
78,300,construidos , 4 recs. ,"6,107,032",Casa en venta ," Martín Mendalde 00 , Del Valle Sur , Benito Juárez , Distrito Federal "
79,220,construidos , 3 recs. ,"1,837,086",Casa en venta ," nicolas san juan 00 , Del Valle Sur , Benito Juárez , Distrito Federal "
80,232,construidos , 3 recs. ,"14,300,382",Casa en venta ," ANDRES DE LA CONCHA , San José Insurgentes , Benito Juárez , Distrito Federal "
81,200,construidos , 3 recs. ,"2,370,000",Casa en venta ," Emperadores 78 , Portales , Benito Juárez , Distrito Federal "
82,233,construidos , 3 recs. ,"13,973,151",Casa en venta ," San José Insurgentes , Benito Juárez , Distrito Federal "
83,515,construidos , 6 recs. ,"18,000,000",Casa en venta ," Poussin , San Juan , Benito Juárez , Distrito Federal "
84,393,construidos , 3 recs. ,"14,900,000",Casa en venta ," Adolfo Prieto , Benito Juárez , Distrito Federal "
85,600,construidos , 5 recs. ,"7,900,000",Casa en venta ," Benito Juárez , Distrito Federal "
86,430,construidos , 5 recs. ,"1,535,000",Casa en venta ," Benito Juárez , Distrito Federal "
87,141,construidos , 3 recs. ,"246,050,000",Casa en venta ," Benito Juárez , Distrito Federal "
88,345,construidos , 4 recs. ,"2,240,000",Casa en venta ," Benito Juárez , Distrito Federal "
89,300,construidos , 4 recs. ,"8,500,000",Casa en venta ," Venta Casa , Benito Juárez , Distrito Federal "
90,310,construidos , 4 recs. ,"1,444,751",Casa en venta ," Benito Juárez , Distrito Federal "
91,396,construidos , 4 recs. ,"1,326,450",Casa en venta ," Manuel López Cotilla858 , Del Valle Centro , Benito Juárez , Distrito Federal "
92,339,construidos , 4 recs. ,"15,500,000",Casa en venta ," Altadena , Nápoles , Benito Juárez , Distrito Federal "
93,310,construidos , 4 recs. ,"7,618,043",Casa en venta ," PABLO UCELLO75 , Ciudad De Los Deportes , Benito Juárez , Distrito Federal "
94,200,construidos , 3 recs. ,"1,244,369",Casa en venta ," XOLA1902 , Narvarte Poniente , Benito Juárez , Distrito Federal "
95,195,construidos , 2 recs. ,"761,483",Casa en venta ," Pirineos60 A , Portales Sur , Benito Juárez , Distrito Federal "
96,195,construidos , 2 recs. ,"761,483",Casa en venta ," Pirineos60 A , Portales Sur , Benito Juárez , Distrito Federal "
97,180,construidos , 3 recs. ,"1,155,966",Casa en venta ," CASTILLA 0 , Alamos , Benito Juárez , Distrito Federal "
