,Unnamed: 0,Status,m2,State,Rooms,Price,Adress,lon,lat
118,118,Casa en venta ,350,construidos , 4 recs. ,"6,400,000"," Pernambuco , Lindavista Norte , Gustavo A. Madero , Distrito Federal ",-99.1256585,19.4913741
119,119,Casa en venta ,350,construidos , 5 recs. ,"2,700,000"," ZORROS 33 , Otros , Gustavo A. Madero , Distrito Federal ",-99.1079185,19.5288017
120,120,Casa en venta ,600,construidos , 5 recs. ,"8,300,000"," Lindavista Norte , Gustavo A. Madero , Distrito Federal ",-99.1276295,19.494112
121,121,Casa en venta ,349,construidos , 4 recs. ,"8,500,000"," Manizales , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.12702829999999,19.4994383
122,122,Casa en venta ,140,construidos , 3 recs. ,"2,160,000"," Gustavo A. Madero , Distrito Federal ",-99.1236134,19.4873329
123,123,Casa en venta ,687,construidos , 6 recs. ,"20,000,000"," MATANZAS 760 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.13089339999999,19.492911
124,124,Casa en venta ,328,construidos , 4 recs. ,"5,650,000"," Pisco , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.13665239999999,19.4910865
125,125,Casa en venta ,456,construidos , 5 recs. ,"14,900,000"," Quito 1 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.13012529999999,19.4967425
126,126,Casa en venta ,133,construidos , 3 recs. ,"718,330"," Gustavo A. Madero , Distrito Federal ",-99.1236134,19.4873329
127,127,Casa en venta ,514,construidos , 8 recs. ,"10,990,000"," Salaverry 877 , Lindavista Sur , Gustavo A. Madero , Distrito Federal ",-99.12998549999999,19.4976536
128,128,Casa en venta ,294,construidos , 5 recs. ,"4,200,000"," Debussy , Guadalupe Victoria , Gustavo A. Madero , Distrito Federal ",-99.139607,19.4702367
129,129,Casa en venta ,116,construidos , 5 recs. ,"2,300,000"," VOLCAN CHACAGUA 2 , Pradera II Secc. , Gustavo A. Madero , Distrito Federal ",-99.0641053,19.4728978
130,130,Casa en venta ,80,construidos , 2 recs. ,"2,000,000"," Avenida 593 90 , San Juan De Aragón 3a Secc. , Gustavo A. Madero , Distrito Federal ",-99.07299379999999,19.4529595
131,131,Casa en venta ,309,construidos , 4 recs. ,"1,250,000"," MANAGUA 730 , Lindavista Sur , Gustavo A. Madero , Distrito Federal ",-99.1320607,19.4925757
132,132,Casa en venta ,562,construidos ,,"25,000,000"," 5 de mayo villa gustavo a. madero , Villa Gustavo A. Madero , Gustavo A. Madero , Distrito Federal ",-99.1180625,19.4862493
133,133,Casa en venta ,220,construidos , 4 recs. ,"1,370,020"," CHICLAYO 0 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.13107559999999,19.4896721
134,134,Casa en venta ,320,construidos , 7 recs. ,"3,840,000"," CANTERA ALFONSA 507 , Arboledas De Cuautepec El Alto , Gustavo A. Madero , Distrito Federal ",-99.13297879999999,19.5649311
135,135,Casa en venta ,116,construidos , 2 recs. ,"1,800,000"," NORTE 17 5010 , Magdalena De Las Salinas , Gustavo A. Madero , Distrito Federal ",-99.14749359999999,19.4805772
136,136,Casa en venta ,295,construidos , 3 recs. ,"11,050,000"," SAN JUAN PUERTO RICO , Residencial Zacatenco , Gustavo A. Madero , Distrito Federal ",-99.1271988,19.5057482
137,137,Casa en venta ,590,construidos , 4 recs. ,"18,500,000"," insurgentes 1990 , Lindavista Norte , Gustavo A. Madero , Distrito Federal ",-99.1179317,19.4988592
138,138,Casa en venta ,590,construidos , 4 recs. ,"18,500,000"," cali 00 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.12746729999999,19.4866262
139,139,Casa en venta ,263,construidos , 4 recs. ,"4,950,000"," Villa Cuitlahuac 23 , Villa De Aragón , Gustavo A. Madero , Distrito Federal ",-99.0605356,19.4677927
140,140,Casa en venta ,674,construidos , 4 recs. ,"13,500,000"," San Juan de Puerto Rico 1208 , Residencial Zacatenco , Gustavo A. Madero , Distrito Federal ",-99.1274349,19.506025
141,141,Casa en venta ,300,construidos , 2 recs. ,"6,000,000"," Congreso de la Unión , Mártires De Río Blanco , Gustavo A. Madero , Distrito Federal ",-99.1133325,19.459966
142,142,Casa en venta ,320,construidos , 3 recs. ,"2,285,564"," Gustavo A. Madero , Distrito Federal ",-99.1236134,19.4873329
143,143,Casa en venta ,125,construidos , 3 recs. ,"2,600,000"," Calle 1505 50 , San Juan de Aragón VI Sección , Gustavo A. Madero , Distrito Federal ",-99.0703589,19.4677367
144,144,Casa en venta ,171,construidos , 3 recs. ,"1,850,000"," Calle 637 70 , San Juan de Aragón V Sección , Gustavo A. Madero , Distrito Federal ",-99.06447790000001,19.4547375
145,145,Casa en venta ,399,construidos , 10 recs. ,"7,800,000"," FRANCISCO TAMAGNO , Vallejo , Gustavo A. Madero , Distrito Federal ",-99.1332182,19.4652202
146,146,Casa en venta ,370,construidos , 4 recs. ,"5,400,000"," Paranagua 217 , Lindavista , Gustavo A. Madero , Distrito Federal ",-99.12571369999999,19.5087949
147,147,Casa en venta ,91,construidos , 3 recs. ,"3,600,000"," Avenida Acueducto , Residencial Zacatenco , Gustavo A. Madero , Distrito Federal ",-99.122174,19.5063144
148,148,Casa en venta ,200,construidos , 3 recs. ,"4,000,000"," Estrella , Gustavo A. Madero , Distrito Federal ",-99.1165633,19.4740421
149,149,Casa en venta ,371,construidos , 3 recs. ,"4,800,364"," Gustavo A. Madero , Distrito Federal ",-99.1236134,19.4873329
150,150,Casa en venta ,365,construidos , 6 recs. ,"9,900,000"," Cienfuegos , Lindavista Sur , Gustavo A. Madero , Distrito Federal ",-99.12982869999999,19.4927791
151,151,Casa en venta ,280,construidos , 3 recs. ,"9,150,000"," Wilfrido Massieu , Lindavista Sur , Gustavo A. Madero , Distrito Federal ",-99.1365879,19.495299
152,152,Casa en venta ,234,construidos , 3 recs. ,"6,500,000"," MANIZALES , Residencial Zacatenco , Gustavo A. Madero , Distrito Federal ",-99.12611899999999,19.5005442
153,153,Casa en venta ,1,construidos ,,"4,840,000"," Industrial , Gustavo A. Madero , Distrito Federal ",-99.1248628,19.4736233
154,154,Casa en venta ,310,construidos , 4 recs. ,"16,900,000"," WILFRIDO MASSIEU 347 , San Bartolo Atepehuacan , Gustavo A. Madero , Distrito Federal ",-99.14471830000001,19.4978168
155,155,Casa en venta ,370,construidos , 4 recs. ,"3,429,282"," Gustavo A. Madero , Distrito Federal ",-99.1236134,19.4873329
156,156,Casa en venta ,186,construidos , 4 recs. ,"9,500,000"," Torres Lindavista , Gustavo A. Madero , Distrito Federal ",-99.1442316,19.5109537
157,157,Casa en venta ,200,construidos , 5 recs. ,"6,000,000"," Oriente 153 1 , Salvador Díaz Mirón , Gustavo A. Madero , Distrito Federal ",-99.10035889999999,19.4864765
158,158,Casa en venta ,382,construidos , 4 recs. ,"13,300,000"," Lindavista Norte , Gustavo A. Madero , Distrito Federal ",-99.1276295,19.494112
