attributes,price,status,adress,link
 220 m² construidos | 4 recs. ,"861,792",Casa en venta , Talara189 - Tepeyac Insurgentes - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874121672-casa-sola-en-venta-tepeyac-insurgentes-_JM#position=39&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 135 m² construidos | 3 recs. ,"1,149,873",Casa en venta , Oriente 872829 - Mártires De Río Blanco - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874125870-casa-sola-en-venta-martires-de-rio-blanco-_JM#position=40&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 80 m² construidos | 2 recs. ,"932,766",Casa en venta , Alfonso Echanoves9 - Atzacoalco CTM - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874121649-casa-sola-en-venta-atzacoalco-ctm-_JM#position=41&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 138 m² construidos | 3 recs. ,"731,489",Casa en venta , Guayaquil39 - Lindavista Sur - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874122356-casa-sola-en-venta-lindavista-sur-_JM#position=42&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 300 m² construidos | 4 recs. ,"1,334,566",Casa en venta , LIMA 905 - Lindavista - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873984675-casa-en-remate-col-lindavista-gustavo-a-madero-crgs-_JM#position=43&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 90 m² construidos | 3 recs. ,"1,230,931",Casa en venta , Nte 725637 - Bondojito - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874125850-casa-sola-en-venta-bondojito-_JM#position=44&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 90 m² construidos | 2 recs. ,"1,740,800",Casa en venta , CALLE 302 00 - El Coyol - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873938336-mms7213-venta-de-casa-sola-gustavo-a-madero-cdmx-_JM#position=45&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 180 m² construidos | 3 recs. ,"1,831,466",Casa en venta , Calle 307924 A - Nueva Atzacoalco - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874125853-casa-sola-en-venta-nueva-atzacoalco-_JM#position=46&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 600 m² construidos | 5 recs. ,"789,245",Casa en venta , Caruso 2792 - Vallejo - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874122301-casa-sola-en-venta-vallejo-_JM#position=47&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 160 m² construidos | 3 recs. ,"863,248",Casa en venta , Calle 28 A14 - San José De La Escalera - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874125833-casa-sola-en-venta-san-jose-de-la-escalera-_JM#position=48&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
