attributes,price,status,adress
 341 m² construidos | 4 recs. ,"2,745,000",Casa en venta , Eje 7 Sur Emiliano Zapata 35 - Portales Oriente - Benito Juárez - Distrito Federal 
 68 m² construidos | 2 recs. ,"1,284,914",Casa en venta , HAMBURGO 40 - Albert - Benito Juárez - Distrito Federal 
 206 m² construidos | 3 recs. ,"2,470,000",Casa en venta , Mercaderes 00 - San José Insurgentes - Benito Juárez - Distrito Federal 
 89 m² construidos | 2 recs. ,"1,190,000",Casa en venta , Guillain 39 - Mixcoac - Benito Juárez - Distrito Federal 
 115 m² construidos | 3 recs. ,"1,960,000",Casa en venta , Gabriel Mancera 114 - Del Valle Norte - Benito Juárez - Distrito Federal 
 99 m² construidos | 2 recs. ,"4,580,000",Casa en venta , Palenque 278 - Narvarte Oriente - Benito Juárez - Distrito Federal 
 347 m² construidos | 4 recs. ,"9,310,000",Casa en venta , Ixcateopan 201 - Vértiz Narvarte - Benito Juárez - Distrito Federal 
 68 m² construidos | 2 recs. ,"1,027,566",Casa en venta , Napoleón Eje 4 Sur 27 - Moderna - Benito Juárez - Distrito Federal 
 240 m² construidos | 3 recs. ,"2,176,792",Casa en venta , Mier y Pesado 236 - Del Valle Norte - Benito Juárez - Distrito Federal 
 85 m² construidos | 2 recs. ,"1,602,000",Casa en venta , Cerrada de Cataluña 21 - Insurgentes Mixcoac - Benito Juárez - Distrito Federal 
 70 m² construidos | 2 recs. ,"831,422",Casa en venta , Zempoala 28 - Independencia - Benito Juárez - Distrito Federal 
 117 m² construidos | 3 recs. ,"1,047,212",Casa en venta , Viaducto Río Becerra 137 - Nápoles - Benito Juárez - Distrito Federal 
 116 m² construidos | 3 recs. ,"2,170,000",Casa en venta , Indianapolis 81 - Nápoles - Benito Juárez - Distrito Federal 
 75 m² construidos | 2 recs. ,"1,170,000",Casa en venta , Av. José María Rico 634 - Del Valle Sur - Benito Juárez - Distrito Federal 
 68 m² construidos | 2 recs. ,"1,160,000",Casa en venta , Eje 8 sur Av. Popocatépetl 454 - Gral. Pedro María Anaya - Benito Juárez - Distrito Federal 
 105 m² construidos ,"4,500,000",Casa en venta , Portales Norte - Benito Juárez - Distrito Federal 
 89 m² construidos | 2 recs. ,"1,640,000",Casa en venta , Guillain 39 - Mixcoac - Benito Juárez - Distrito Federal 
 106 m² construidos | 3 recs. ,"1,160,000",Casa en venta , Tiburcio Sánchez de la Barquera 110 - Merced Gómez - Benito Juárez - Distrito Federal 
 70 m² construidos | 2 recs. ,"735,671",Casa en venta , Serafín Olarte 191 - Independencia - Benito Juárez - Distrito Federal 
 80 m² construidos | 2 recs. ,"1,122,000",Casa en venta , San Borja 1758 - Independencia - Benito Juárez - Distrito Federal 
 60 m² construidos | 2 recs. ,"2,940,000",Casa en venta , Mier y Pesado 317 - Del Valle Norte - Benito Juárez - Distrito Federal 
 380 m² construidos | 4 recs. ,"679,999",Casa en venta , PITAGORAS 00 - Narvarte Poniente - Benito Juárez - Distrito Federal 
 417 m² construidos | 4 recs. ,"2,570,000",Casa en venta , Heriberto Frias 00 - Del Valle Centro - Benito Juárez - Distrito Federal 
 166 m² construidos | 3 recs. ,"6,000,000",Casa en venta , Calle Gabriel Mancera 46 - Colonia Del Valle - Benito Juárez - Distrito Federal 
 224 m² construidos | 3 recs. ,"3,070,000",Casa en venta , Cda Xocotitla 17 - Xoco - Benito Juárez - Distrito Federal 
 318 m² construidos | 3 recs. ,"12,150,000",Casa en venta , San Lorenzo 909 - Del Valle Sur - Benito Juárez - Distrito Federal 
 200 m² construidos | 3 recs. ,"3,000,000",Casa en venta , Calle Balboa 724 - Portales Sur - Benito Juárez - Distrito Federal 
 315 m² de terreno | 3 recs. ,"11,995,100",Casa en venta , Casa 3 EN Condominio.en Venta. al 300 - Benito Juárez - Distrito Federal 
 150 m² construidos | 3 recs. ,"4,500,000",Casa en venta , Juan Escutia 180 - Américas Unidas - Benito Juárez - Distrito Federal 
 307 m² construidos | 4 recs. ,"10,800,000",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 350 m² construidos | 5 recs. ,"10,000,000",Casa en venta , Calle 22 - San Pedro De Los Pinos - Benito Juárez - Distrito Federal 
 213 m² construidos | 3 recs. ,"9,990,000",Casa en venta , Cerrada Jose Ignacio de Bartolache 1 - Del Valle Centro - Benito Juárez - Distrito Federal 
 1200 m² construidos | 4 recs. ,"78,800,000",Casa en venta , Angel Urraza - Del Valle Sur - Benito Juárez - Distrito Federal 
 467 m² construidos | 5 recs. ,"13,220,000",Casa en venta , Xochicalco 668 - Letran Valle - Benito Juárez - Distrito Federal 
 360 m² construidos | 3 recs. ,"12,850,000",Casa en venta , Acacias - Benito Juárez - Distrito Federal 
 554 m² construidos | 6 recs. ,"24,300,000",Casa en venta , Camino a Santa Teresa - San José Insurgentes - Benito Juárez - Distrito Federal 
 220 m² construidos | 3 recs. ,"4,500,000",Casa en venta , Mercaderes - San José Insurgentes - Benito Juárez - Distrito Federal 
 200 m² construidos | 3 recs. ,"2,000,000",Casa en venta , María Hernández Zarco 68 - Alamos - Benito Juárez - Distrito Federal 
 314 m² construidos | 4 recs. ,"12,800,000",Casa en venta , Juan Sánchez Azcona1552 - Del Valle Centro - Benito Juárez - Distrito Federal 
 343 m² construidos | 4 recs. ,"12,450,000",Casa en venta , Providencia 1117 - Colonia Del Valle - Benito Juárez - Distrito Federal 
 233 m² construidos | 3 recs. ,"7,300,000",Casa en venta , Adolfo Prieto - Benito Juárez - Distrito Federal 
 360 m² construidos | 5 recs. ,"11,700,000",Casa en venta , Calle 17 1 - San Pedro De Los Pinos - Benito Juárez - Distrito Federal 
 243 m² construidos | 4 recs. ,"9,800,000",Casa en venta , Narvarte Poniente - Benito Juárez - Distrito Federal 
 700 m² construidos ,"30,950,000",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 167 m² construidos | 3 recs. ,"6,500,000",Casa en venta , Av. Primero de Mayo 152 - San Pedro De Los Pinos - Benito Juárez - Distrito Federal 
 505 m² construidos | 3 recs. ,"15,500,000",Casa en venta , Manuel Lopez Cotilla 1862 - Acacias - Benito Juárez - Distrito Federal 
 364 m² construidos | 4 recs. ,"10,350,000",Casa en venta , Bartolache 1147 - Del Valle Centro - Benito Juárez - Distrito Federal 
 335 m² construidos | 6 recs. ,"190,000",Casa en venta , Manuel López Cotilla 1 - Del Valle Sur - Benito Juárez - Distrito Federal 
 200 m² construidos | 3 recs. ,"3,130,000",Casa en venta , Benito Juárez - Distrito Federal 
 224 m² construidos | 3 recs. ,"4,171,085",Casa en venta , Benito Juárez - Distrito Federal 
 258 m² construidos | 3 recs. ,"11,400,000",Casa en venta , Porfirio Díaz - Del Valle Centro - Benito Juárez - Distrito Federal 
 301 m² construidos | 4 recs. ,"11,800,000",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 436 m² construidos | 7 recs. ,"16,200,000",Casa en venta , Obrero Mundial 400 - Piedad Narvarte - Benito Juárez - Distrito Federal 
 224 m² construidos | 3 recs. ,"10,200,000",Casa en venta , Rodrigo Cifuentes - San José Insurgentes - Benito Juárez - Distrito Federal 
 372 m² construidos | 3 recs. ,"14,500,000",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 258 m² construidos | 3 recs. ,"8,550,000",Casa en venta , San José Insurgentes - Benito Juárez - Distrito Federal 
 240 m² construidos ,"10,000,000",Casa en venta , Ohio - Nápoles - Benito Juárez - Distrito Federal 
 240 m² construidos | 3 recs. ,"4,950,000",Casa en venta , Bertha 00 - Nativitas - Benito Juárez - Distrito Federal 
 194 m² construidos | 4 recs. ,"5,450,000",Casa en venta , MARIA HERNANDEZ ZARCO 8 - Alamos - Benito Juárez - Distrito Federal 
 770 m² construidos | 5 recs. ,"33,000,000",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 400 m² construidos | 3 recs. ,"13,000,000",Casa en venta , San José Insurgentes - Benito Juárez - Distrito Federal 
 215 m² construidos | 4 recs. ,"8,300,000",Casa en venta , Zempoala - Narvarte Oriente - Benito Juárez - Distrito Federal 
 326 m² construidos ,"10,900,000",Casa en venta , Av. Eugenia - Colonia Del Valle - Benito Juárez - Distrito Federal 
