,m2,State,Rooms,Price,Status,Adress
65,246,construidos , 5 recs. ,"8,300,000",Casa en venta ," Merced Gómez , Merced Gómez , Benito Juárez , Distrito Federal "
66,320,construidos , 3 recs. ,"14,500,000",Casa en venta ," Adolfo Prieto 110 , Del Valle Norte , Benito Juárez , Distrito Federal "
67,167,construidos , 3 recs. ,"5,900,000",Casa en venta ," LA CORUÑA , Alamos , Benito Juárez , Distrito Federal "
68,489,construidos , 3 recs. ,"9,500,000",Casa en venta ," Parque Mariscal Sucre , Del Valle Centro , Benito Juárez , Distrito Federal "
69,309,construidos , 4 recs. ,"14,270,000",Casa en venta ," Amores , Del Valle Sur , Benito Juárez , Distrito Federal "
70,342,construidos , 3 recs. ,"12,880,000",Casa en venta ," Acacias , Benito Juárez , Distrito Federal "
71,700,construidos , 3 recs. ,"11,100,000",Casa en venta ," Alamos , Benito Juárez , Distrito Federal "
72,1200,construidos , 4 recs. ,"50,000,000",Casa en venta ," Nevado , Portales Sur , Benito Juárez , Distrito Federal "
73,430,construidos , 3 recs. ,"15,300,000",Casa en venta ," Nicolás San Juan , Del Valle Centro , Benito Juárez , Distrito Federal "
74,500,construidos , 3 recs. ,"15,220,000",Casa en venta ," Amores , Del Valle Centro , Benito Juárez , Distrito Federal "
75,240,construidos , 3 recs. ,"7,402,544",Casa en venta ," IXCATEOPAN 201 , Vértiz Narvarte , Benito Juárez , Distrito Federal "
76,180,construidos , 3 recs. ,"1,155,966",Casa en venta ," CASTILLA 142 , Alamos , Benito Juárez , Distrito Federal "
77,369,construidos , 4 recs. ,"15,219,000",Casa en venta ," Amores , Del Valle Sur , Benito Juárez , Distrito Federal "
78,180,construidos , 4 recs. ,"1,352,036",Casa en venta ," GABRIEL MANCERA 46 , Del Valle Centro , Benito Juárez , Distrito Federal "
79,105,construidos , 3 recs. ,"5,400,000",Casa en venta ," Gabriel Mancera 322 , Del Valle Centro , Benito Juárez , Distrito Federal "
80,360,construidos , 4 recs. ,"1,550,369",Casa en venta ," ENRIQUE PESTALOZZI 622 , Narvarte , Benito Juárez , Distrito Federal "
81,280,construidos , 4 recs. ,"7,700,000",Casa en venta ," Peten 1 , Narvarte , Benito Juárez , Distrito Federal "
82,371,construidos , 3 recs. ,"19,999,898",Casa en venta ," Donatelo 02 , Insurgentes Mixcoac , Benito Juárez , Distrito Federal "
83,555,construidos , 4 recs. ,"14,500,000",Casa en venta ," anexagoras 930 , Narvarte Poniente , Benito Juárez , Distrito Federal "
84,331,construidos , 3 recs. ,"12,850,000",Casa en venta ," PROVIDENCIA 983 , Colonia Del Valle , Benito Juárez , Distrito Federal "
85,500,construidos , 4 recs. ,"8,449,368",Casa en venta ," Ixcateopan 00 , Vértiz Narvarte , Benito Juárez , Distrito Federal "
86,270,construidos , 4 recs. ,"1,320,000",Casa en venta ," Ohio 00 , Nápoles , Benito Juárez , Distrito Federal "
87,152,construidos , 3 recs. ,"6,900,000",Casa en venta ," Carmen 110 , Nativitas , Benito Juárez , Distrito Federal "
88,240,construidos , 3 recs. ,"2,111,500",Casa en venta ," Benito Juárez , Distrito Federal "
89,140,construidos , 1 rec. ,"13,000,000",Casa en venta ," Narvarte Poniente , Benito Juárez , Distrito Federal "
90,220,construidos , 4 recs. ,"1,100,000",Casa en venta ," Xocotitla 17 , Xoco , Benito Juárez , Distrito Federal "
91,790,construidos , 4 recs. ,"883,000",Casa en venta ," Nanche8 , Del Valle Sur , Benito Juárez , Distrito Federal "
92,450,construidos , 3 recs. ,"983,657",Casa en venta ," Ohio13 , Nápoles , Benito Juárez , Distrito Federal "
93,224,construidos , 4 recs. ,"1,180,000",Casa en venta ," JUAREZ 141 SANTA CRUZ ATOYAC 0 , Santa Cruz Atoyac , Benito Juárez , Distrito Federal "
94,240,construidos , 6 recs. ,"6,000,000",Casa en venta ," Sucre , Moderna , Benito Juárez , Distrito Federal "
95,400,construidos , 4 recs. ,"1,407,670",Casa en venta ," Alhambra1115 , Portales Sur , Benito Juárez , Distrito Federal "
